Competition,Team,Venue,Played,Wins,Draws,Losses,GF,GA,Points
SLM,UON Men,Home,3,1,0,2,4,7,3
SLM,Wazalendo Masters,Away,6,1,2,3,9,12,5
SLM,Wazalendo Masters,Home,3,0,0,3,0,6,0
SLW,Black Tigresses,Home,1,0,0,1,0,6,0
SLW,Daystar University Ladies,Away,1,0,0,1,0,2,0
SLW,Daystar University Ladies,Home,4,1,0,3,3,7,3
SLW,GHF Rift Pirates Ladies,Away,3,1,0,2,4,4,3
SLW,GHF Rift Pirates Ladies,Home,3,2,0,1,4,3,6
SLW,Gorillas Hockey Club – Ladies,Away,3,0,0,3,2,6,0
SLW,Lakers Hockey Club – B,Away,3,2,0,1,3,2,6
SLW,Lakers Hockey Club – B,Home,3,1,2,0,4,3,5
SLW,Mombasa Sports Club Ladies,Away,3,0,2,1,2,3,2
SLW,Mombasa Sports Club Ladies,Home,1,0,0,1,1,2,0
SLW,Swans Hockey Club,Home,4,1,2,1,4,4,5
SLW,Twinkle Hockey Club,Away,4,3,1,0,11,3,10
SLW,Twinkle Hockey Club,Home,1,1,0,0,2,0,3
SLW,Wazalendo Pearls,Away,3,2,1,0,6,2,7
SLW,Wazalendo Pearls,Home,3,2,0,1,4,3,6
