Competition,Team,Opponent,Venue,GF,GA,Win,Draw,Loss,Points,CleanSheet,FailedToScore
NLM-EZ,Parklands Sports Club – Legacy,Mombasa West,Away,2,2,0,1,0,1,0,0
NLM-EZ,Snippers Hockey Club (Makueni),Parklands Sports Club – Legacy,Away,0,2,0,0,1,0,0,1
NLM-EZ,UoN Cubs,Parklands Sports Club – Legacy,Away,3,1,1,0,0,3,0,0
NLM-EZ,Black Tigers,Snippers Hockey Club (Makueni),Away,1,0,1,0,0,3,1,0
NLM-EZ,Daystar University Men,Snippers Hockey Club (Makueni),Away,2,1,1,0,0,3,0,0
NLM-EZ,Ulinzi Patriots,Snippers Hockey Club (Makueni),Away,2,1,1,0,0,3,0,0
NLM-EZ,Black Tigers,TUK Men,Away,2,3,0,0,1,0,0,0
NLM-EZ,Gorillas,TUK Men,Away,2,1,1,0,0,3,0,0
NLM-EZ,Black Tigers,Ulinzi Patriots,Away,1,2,0,0,1,0,0,0
NLM-EZ,Mombasa Sports Club,Ulinzi Patriots,Away,2,2,0,1,0,1,0,0
NLM-EZ,Mombasa West,Ulinzi Patriots,Away,0,0,0,1,0,1,1,1
NLM-EZ,Parklands Sports Club – Legacy,Ulinzi Patriots,Away,2,1,1,0,0,3,0,0
NLM-EZ,UoN Cubs,Ulinzi Patriots,Away,1,3,0,0,1,0,0,0
NLM-EZ,Daystar University Men,UoN Cubs,Away,0,1,0,0,1,0,0,1
NLM-EZ,Snippers Hockey Club (Makueni),UoN Cubs,Away,0,1,0,0,1,0,0,1
NLM-CZ,Nyari Hockey Club,Dukes of Gloucester,Away,0,5,0,0,1,0,0,1
NLM-CZ,Dukes of Gloucester,GHF Rift Pirates Men,Away,1,9,0,0,1,0,0,0
NLM-CZ,Dukes of Gloucester,Thika Rovers,Away,0,8,0,0,1,0,0,1
NLM-WZ,GHF Blue Pirates II,Fire Flickers,Away,1,3,0,0,1,0,0,0
NLM-WZ,Kitale Hockey Club,Fire Flickers,Away,2,1,1,0,0,3,0,0
NLM-WZ,Lakers Hockey Club Men,Fire Flickers,Away,1,1,0,1,0,1,0,0
NLM-WZ,Kitale Hockey Club,GHF Blue Pirates II,Away,3,2,1,0,0,3,0,0
NLM-WZ,Nandi Hawks,GHF Blue Pirates II,Away,2,2,0,1,0,1,0,0
NLM-WZ,Nandi Hawks,Kitale Hockey Club,Away,0,7,0,0,1,0,0,1
NLM-WZ,GHF Blue Pirates II,Lakers Hockey Club Men,Away,0,1,0,0,1,0,0,1
NLM-WZ,Kitale Hockey Club,Lakers Hockey Club Men,Away,1,0,1,0,0,3,1,0
NLM-WZ,Fire Flickers,Nandi Hawks,Away,0,1,0,0,1,0,0,1
NLM-WZ,Lakers Hockey Club Men,Nandi Hawks,Away,2,1,1,0,0,3,0,0
NLM-WZ,Kitale Hockey Club,Western Jaguars Dev,Away,2,0,1,0,0,3,1,0
NLM-SZ,Kisii Falcons,Bay Club,Away,3,1,1,0,0,3,0,0
NLM-SZ,Bay Club,Gorillas Hockey CLub – Migori,Away,8,0,1,0,0,3,1,0
NLM-SZ,Gorillas Hockey CLub – Migori,Kisii Falcons,Away,0,4,0,0,1,0,0,1
NLM-SZ,Bay Club,Oyugis Hockey Club,Away,2,0,1,0,0,3,1,0
NLM-SZ,Gorillas Hockey CLub – Migori,Oyugis Hockey Club,Away,3,1,1,0,0,3,0,0
NLM-SZ,Kisii Falcons,Oyugis Hockey Club,Away,10,0,1,0,0,3,1,0
