Competition,Team,Opponent,Venue,GF,GA,Win,Draw,Loss,Points,CleanSheet,FailedToScore
SLM,Impala,UON Men,Home,2,1,1,0,0,3,0,0
SLM,Impala,Wazalendo Masters,Home,3,3,0,1,0,1,0,0
SLM,KCA University,Impala,Home,4,0,1,0,0,3,1,0
SLM,KCA University,Mvita XI,Home,1,2,0,0,1,0,0,0
SLM,KCA University,Nakuru Hockey Club,Home,4,2,1,0,0,3,0,0
SLM,KCA University,Strathmore University,Home,1,2,0,0,1,0,0,0
SLM,Mvita XI,Impala,Home,4,4,0,1,0,1,0,0
SLM,Mvita XI,Nakuru Hockey Club,Home,2,2,0,1,0,1,0,0
SLM,Mvita XI,Wazalendo Masters,Home,2,0,1,0,0,3,1,0
SLM,Nakuru Hockey Club,GHF Blue Pirates,Home,0,1,0,0,1,0,0,1
SLM,Nakuru Hockey Club,Impala,Home,2,2,0,1,0,1,0,0
SLM,Nakuru Hockey Club,Wazalendo Masters,Home,1,1,0,1,0,1,0,0
SLM,Parkroad Badgers,KCA University,Home,2,4,0,0,1,0,0,0
SLM,Parkroad Badgers,Nakuru Hockey Club,Home,3,1,1,0,0,3,0,0
SLM,Parkroad Badgers,Parkroad Tigers,Home,1,2,0,0,1,0,0,0
SLM,Parkroad Badgers,Strathmore University,Home,1,4,0,0,1,0,0,0
SLM,Parkroad Badgers,Wazalendo Masters,Home,1,3,0,0,1,0,0,0
SLM,Parkroad Tigers,KCA University,Home,1,7,0,0,1,0,0,0
SLM,Parkroad Tigers,Nakuru Hockey Club,Home,1,0,1,0,0,3,1,0
SLM,Parkroad Tigers,Strathmore University,Home,0,4,0,0,1,0,0,1
SLM,Parkroad Tigers,Wazalendo Masters,Home,3,2,1,0,0,3,0,0
SLM,Strathmore University,Impala,Home,3,3,0,1,0,1,0,0
SLM,Strathmore University,UON Men,Home,1,1,0,1,0,1,0,0
SLM,Strathmore University,Wazalendo Masters,Home,2,0,1,0,0,3,1,0
SLM,UON Men,KCA University,Home,0,1,0,0,1,0,0,1
SLM,UON Men,Parkroad Badgers,Home,1,4,0,0,1,0,0,0
SLM,UON Men,Parkroad Tigers,Home,3,2,1,0,0,3,0,0
SLM,Wazalendo Masters,GHF Blue Pirates,Home,0,2,0,0,1,0,0,1
SLM,Wazalendo Masters,KCA University,Home,0,3,0,0,1,0,0,1
SLM,Wazalendo Masters,UON Men,Home,0,1,0,0,1,0,0,1
SLW,Black Tigresses,Twinkle Hockey Club,Home,0,6,0,0,1,0,0,1
SLW,Daystar University Ladies,GHF Rift Pirates Ladies,Home,0,2,0,0,1,0,0,1
