Competition,Date,Team,Opponent,GF,GA,Venue,Win,Draw,Loss,Points,Last5Points
SLM,2026-07-19,KCA University,Strathmore University,1,2,Home,0,0,1,0,9.0
SLM,2026-06-20,Mvita XI,Wazalendo Masters,2,0,Home,1,0,0,3,
SLM,2026-06-21,Mvita XI,Impala,4,4,Home,0,1,0,1,
SLM,2026-06-27,Mvita XI,KCA University,2,1,Away,1,0,0,3,
SLM,2026-07-18,Mvita XI,GHF Blue Pirates,2,0,Away,1,0,0,3,
SLM,2026-07-19,Mvita XI,Nakuru Hockey Club,2,2,Home,0,1,0,1,11.0
SLM,2026-06-20,Nakuru Hockey Club,Parkroad Badgers,1,3,Away,0,0,1,0,
SLM,2026-06-21,Nakuru Hockey Club,Parkroad Tigers,0,1,Away,0,0,1,0,
SLM,2026-07-04,Nakuru Hockey Club,GHF Blue Pirates,0,1,Home,0,0,1,0,
SLM,2026-07-11,Nakuru Hockey Club,Wazalendo Masters,1,1,Home,0,1,0,1,
SLM,2026-07-12,Nakuru Hockey Club,Impala,2,2,Home,0,1,0,1,2.0
SLM,2026-07-18,Nakuru Hockey Club,KCA University,2,4,Away,0,0,1,0,2.0
SLM,2026-07-19,Nakuru Hockey Club,Mvita XI,2,2,Away,0,1,0,1,3.0
SLM,2026-06-06,Parkroad Badgers,Parkroad Tigers,1,2,Home,0,0,1,0,
SLM,2026-06-07,Parkroad Badgers,KCA University,2,4,Home,0,0,1,0,
SLM,2026-06-20,Parkroad Badgers,Nakuru Hockey Club,3,1,Home,1,0,0,3,
SLM,2026-06-21,Parkroad Badgers,UON Men,4,1,Away,1,0,0,3,
SLM,2026-07-05,Parkroad Badgers,Strathmore University,1,4,Home,0,0,1,0,6.0
SLM,2026-07-18,Parkroad Badgers,Impala,1,2,Away,0,0,1,0,6.0
SLM,2026-07-19,Parkroad Badgers,Wazalendo Masters,1,3,Home,0,0,1,0,6.0
SLM,2026-06-06,Parkroad Tigers,Parkroad Badgers,2,1,Away,1,0,0,3,
SLM,2026-06-07,Parkroad Tigers,UON Men,2,3,Away,0,0,1,0,
SLM,2026-06-14,Parkroad Tigers,Strathmore University,0,4,Home,0,0,1,0,
SLM,2026-06-20,Parkroad Tigers,KCA University,1,7,Home,0,0,1,0,
SLM,2026-06-21,Parkroad Tigers,Nakuru Hockey Club,1,0,Home,1,0,0,3,6.0
SLM,2026-07-18,Parkroad Tigers,Wazalendo Masters,3,2,Home,1,0,0,3,6.0
SLM,2026-06-13,Strathmore University,UON Men,1,1,Home,0,1,0,1,
SLM,2026-06-14,Strathmore University,Parkroad Tigers,4,0,Away,1,0,0,3,
SLM,2026-06-27,Strathmore University,Wazalendo Masters,2,0,Home,1,0,0,3,
SLM,2026-07-04,Strathmore University,Impala,3,3,Home,0,1,0,1,
SLM,2026-07-05,Strathmore University,Parkroad Badgers,4,1,Away,1,0,0,3,11.0
SLM,2026-07-19,Strathmore University,KCA University,2,1,Away,1,0,0,3,13.0
SLM,2026-06-06,UON Men,KCA University,0,1,Home,0,0,1,0,
SLM,2026-06-07,UON Men,Parkroad Tigers,3,2,Home,1,0,0,3,
SLM,2026-06-13,UON Men,Strathmore University,1,1,Away,0,1,0,1,
SLM,2026-06-14,UON Men,Impala,1,2,Away,0,0,1,0,
SLM,2026-06-21,UON Men,Parkroad Badgers,1,4,Home,0,0,1,0,4.0
SLM,2026-07-04,UON Men,Wazalendo Masters,1,0,Away,1,0,0,3,7.0
SLM,2026-06-13,Wazalendo Masters,Impala,3,3,Away,0,1,0,1,
SLM,2026-06-14,Wazalendo Masters,KCA University,0,3,Home,0,0,1,0,
SLM,2026-06-20,Wazalendo Masters,Mvita XI,0,2,Away,0,0,1,0,
SLM,2026-06-27,Wazalendo Masters,Strathmore University,0,2,Away,0,0,1,0,
SLM,2026-07-04,Wazalendo Masters,UON Men,0,1,Home,0,0,1,0,1.0
SLM,2026-07-05,Wazalendo Masters,GHF Blue Pirates,0,2,Home,0,0,1,0,0.0
SLM,2026-07-11,Wazalendo Masters,Nakuru Hockey Club,1,1,Away,0,1,0,1,1.0
SLM,2026-07-18,Wazalendo Masters,Parkroad Tigers,2,3,Away,0,0,1,0,1.0
SLM,2026-07-19,Wazalendo Masters,Parkroad Badgers,3,1,Away,1,0,0,3,4.0
SLW,2026-06-06,Black Tigresses,Twinkle Hockey Club,0,6,Home,0,0,1,0,
SLW,2026-06-14,Daystar University Ladies,GHF Rift Pirates Ladies,0,2,Home,0,0,1,0,
SLW,2026-06-27,Daystar University Ladies,Wazalendo Pearls,0,3,Home,0,0,1,0,
SLW,2026-06-28,Daystar University Ladies,Lakers Hockey Club – B,0,1,Home,0,0,1,0,
SLW,2026-07-04,Daystar University Ladies,Gorillas Hockey Club – Ladies,3,1,Home,1,0,0,3,
SLW,2026-07-05,Daystar University Ladies,Twinkle Hockey Club,0,2,Away,0,0,1,0,3.0
SLW,2026-06-13,GHF Rift Pirates Ladies,Wazalendo Pearls,1,2,Away,0,0,1,0,
SLW,2026-06-14,GHF Rift Pirates Ladies,Daystar University Ladies,2,0,Away,1,0,0,3,
SLW,2026-06-21,GHF Rift Pirates Ladies,Twinkle Hockey Club,0,1,Home,0,0,1,0,
SLW,2026-06-27,GHF Rift Pirates Ladies,Lakers Hockey Club – B,2,1,Home,1,0,0,3,
SLW,2026-07-11,GHF Rift Pirates Ladies,Mombasa Sports Club Ladies,2,1,Home,1,0,0,3,9.0
SLW,2026-07-19,GHF Rift Pirates Ladies,Swans Hockey Club,1,2,Away,0,0,1,0,9.0
SLW,2026-07-04,Gorillas Hockey Club – Ladies,Daystar University Ladies,1,3,Away,0,0,1,0,
SLW,2026-07-05,Gorillas Hockey Club – Ladies,Wazalendo Pearls,1,2,Away,0,0,1,0,
SLW,2026-07-11,Gorillas Hockey Club – Ladies,Lakers Hockey Club – B,0,1,Away,0,0,1,0,
SLW,2026-06-20,Lakers Hockey Club – B,Twinkle Hockey Club,3,3,Home,0,1,0,1,
SLW,2026-06-27,Lakers Hockey Club – B,GHF Rift Pirates Ladies,1,2,Away,0,0,1,0,
SLW,2026-06-28,Lakers Hockey Club – B,Daystar University Ladies,1,0,Away,1,0,0,3,
SLW,2026-07-11,Lakers Hockey Club – B,Gorillas Hockey Club – Ladies,1,0,Home,1,0,0,3,
SLW,2026-07-18,Lakers Hockey Club – B,Swans Hockey Club,1,0,Away,1,0,0,3,10.0
SLW,2026-07-19,Lakers Hockey Club – B,Mombasa Sports Club Ladies,0,0,Home,0,1,0,1,10.0
SLW,2026-06-06,Mombasa Sports Club Ladies,Swans Hockey Club,1,1,Away,0,1,0,1,
SLW,2026-06-21,Mombasa Sports Club Ladies,Wazalendo Pearls,1,2,Home,0,0,1,0,
SLW,2026-07-11,Mombasa Sports Club Ladies,GHF Rift Pirates Ladies,1,2,Away,0,0,1,0,
SLW,2026-07-19,Mombasa Sports Club Ladies,Lakers Hockey Club – B,0,0,Away,0,1,0,1,
SLW,2026-06-06,Swans Hockey Club,Mombasa Sports Club Ladies,1,1,Home,0,1,0,1,
SLW,2026-06-20,Swans Hockey Club,Wazalendo Pearls,1,1,Home,0,1,0,1,
SLW,2026-07-18,Swans Hockey Club,Lakers Hockey Club – B,0,1,Home,0,0,1,0,
SLW,2026-07-19,Swans Hockey Club,GHF Rift Pirates Ladies,2,1,Home,1,0,0,3,
SLW,2026-06-06,Twinkle Hockey Club,Black Tigresses,6,0,Away,1,0,0,3,
SLW,2026-06-07,Twinkle Hockey Club,Wazalendo Pearls,1,0,Away,1,0,0,3,
SLW,2026-06-20,Twinkle Hockey Club,Lakers Hockey Club – B,3,3,Away,0,1,0,1,
SLW,2026-06-21,Twinkle Hockey Club,GHF Rift Pirates Ladies,1,0,Away,1,0,0,3,
SLW,2026-07-05,Twinkle Hockey Club,Daystar University Ladies,2,0,Home,1,0,0,3,13.0
SLW,2026-06-07,Wazalendo Pearls,Twinkle Hockey Club,0,1,Home,0,0,1,0,
SLW,2026-06-13,Wazalendo Pearls,GHF Rift Pirates Ladies,2,1,Home,1,0,0,3,
SLW,2026-06-20,Wazalendo Pearls,Swans Hockey Club,1,1,Away,0,1,0,1,
SLW,2026-06-21,Wazalendo Pearls,Mombasa Sports Club Ladies,2,1,Away,1,0,0,3,
SLW,2026-06-27,Wazalendo Pearls,Daystar University Ladies,3,0,Away,1,0,0,3,10.0
SLW,2026-07-05,Wazalendo Pearls,Gorillas Hockey Club – Ladies,2,1,Home,1,0,0,3,13.0
