Competition,Date,Team,Opponent,GF,GA,Venue,Win,Draw,Loss,Points,Last5Points
NLM-EZ,2026-07-04,Ulinzi Patriots,Snippers Hockey Club (Makueni),2,1,Away,1,0,0,3,8.0
NLM-EZ,2026-07-12,Ulinzi Patriots,Black Tigers,2,1,Home,1,0,0,3,11.0
NLM-EZ,2026-06-06,UoN Cubs,Black Tigers,0,1,Away,0,0,1,0,
NLM-EZ,2026-06-13,UoN Cubs,Parklands Sports Club – Legacy,3,1,Away,1,0,0,3,
NLM-EZ,2026-06-14,UoN Cubs,Daystar University Men,1,0,Home,1,0,0,3,
NLM-EZ,2026-06-20,UoN Cubs,Ulinzi Patriots,1,3,Away,0,0,1,0,
NLM-EZ,2026-06-21,UoN Cubs,Snippers Hockey Club (Makueni),1,0,Home,1,0,0,3,9.0
NLM-SZ,2026-06-06,Bay Club,Kisii Falcons,1,3,Home,0,0,1,0,
NLM-SZ,2026-06-20,Bay Club,Oyugis Hockey Club,2,0,Away,1,0,0,3,
NLM-SZ,2026-06-21,Bay Club,Gorillas Hockey CLub – Migori,8,0,Away,1,0,0,3,
NLM-SZ,2026-06-13,Gorillas Hockey CLub – Migori,Kisii Falcons,0,4,Away,0,0,1,0,
NLM-SZ,2026-06-14,Gorillas Hockey CLub – Migori,Oyugis Hockey Club,3,1,Away,1,0,0,3,
NLM-SZ,2026-06-21,Gorillas Hockey CLub – Migori,Bay Club,0,8,Home,0,0,1,0,
NLM-SZ,2026-06-06,Kisii Falcons,Bay Club,3,1,Away,1,0,0,3,
NLM-SZ,2026-06-07,Kisii Falcons,Oyugis Hockey Club,10,0,Away,1,0,0,3,
NLM-SZ,2026-06-13,Kisii Falcons,Gorillas Hockey CLub – Migori,4,0,Home,1,0,0,3,
NLM-SZ,2026-06-07,Oyugis Hockey Club,Kisii Falcons,0,10,Home,0,0,1,0,
NLM-SZ,2026-06-14,Oyugis Hockey Club,Gorillas Hockey CLub – Migori,1,3,Home,0,0,1,0,
