Position,Competition,Team,Played,Wins,Draws,Losses,GF,GA,GD,Points,GoalsPerMatch,GoalsAgainstPerMatch,AverageGD,PPG,ConcededPerMatch,GDPerMatch,AttackStrength,DefenceStrength,OverallStrength,PointsPerMatch,WinPercentage,DrawPercentage,LossPercentage,RankingScore,OffensiveEfficiency,DefensiveEfficiency,EfficiencyDifference,ScoringRate,ConcedingRate,NetPerformance,PPM,EfficiencyRating,AttackRank,DefenceRank,GDRank,PointsRank,CompositeRating,CompositeRank,PlayingStyle,DominanceIndex,DominanceCategory,ExpectedScore,PerformanceQuadrant,TacticalIdentity,PPM_Relative,NetPerformance_Relative,EfficiencyRating_Relative,Cluster,PerformanceCluster
1,NLM-SZ,Kisii Falcons,3,3,0,0,17,1,16,9,5.67,0.3333333333333333,5.33,3.0,0.33,5.33,2.13,8.08,5.11,3.0,100.0,0.0,0.0,0.92,5.67,0.33,5.34,5.67,0.33,5.34,3.0,4.17,4,2,1,9,14.38,2,Balanced Contender,100.0,Elite,87.72,Elite,Balanced - Defence Leaning,1.5,5.34,3.42,2,Elite Contenders
2,NLM-SZ,Bay Club,3,2,0,1,11,3,8,6,3.67,1.0,2.67,2.0,1.0,2.67,1.38,2.66,2.02,2.0,66.7,0.0,33.3,1.28,3.67,1.0,2.67,3.67,1.0,2.67,2.0,2.34,10,4,6,12,6.38,7,Balanced Contender,60.56,Strong,52.65,Elite,Balanced - Defence Leaning,0.5,2.67,1.58,1,Competitive Challengers
3,NLM-SZ,Gorillas Hockey CLub – Migori,3,1,0,2,3,13,-10,3,1.0,4.333333333333333,-3.33,1.0,4.33,-3.33,0.37,0.62,0.5,1.0,33.3,0.0,66.7,0.89,1.0,4.33,-3.33,1.0,4.33,-3.33,1.0,-1.16,18,14,23,15,-0.17,56,Developing Team,15.7,Developing,14.95,Developing,Rebuilding Phase,-0.5,-3.33,-1.92,0,Developing Teams
4,NLM-SZ,Oyugis Hockey Club,3,0,0,3,1,15,-14,0,0.33,5.0,-4.67,0.0,5.0,-4.67,0.12,0.53,0.32,0.0,0.0,0.0,100.0,0.33,0.33,5.0,-4.67,0.33,5.0,-4.67,0.0,-2.34,20,16,26,18,-1.69,60,Developing Team,0.0,Developing,6.29,Developing,Rebuilding Phase,-1.5,-4.67,-3.08,0,Developing Teams
1,NLM-WZ,Kitale Hockey Club,5,5,0,0,15,3,12,15,3.0,0.6,2.4,3.0,0.6,2.4,2.4,2.67,2.54,3.0,100.0,0.0,0.0,2.09,3.0,0.6,2.4,3.0,0.6,2.4,3.0,2.7,6,4,2,3,7.77,4,Balanced Contender,100.0,Elite,63.5,Elite,Balanced - Defence Leaning,1.83,2.75,2.29,2,Elite Contenders
2,NLM-WZ,Lakers Hockey Club Men,4,2,1,1,4,3,1,7,1.0,0.75,0.25,1.75,0.75,0.25,0.8,2.13,1.46,1.75,50.0,25.0,25.0,1.09,1.0,0.75,0.25,1.0,0.75,0.25,1.75,1.0,17,4,12,11,3.93,18,Defence-Oriented,54.2,Strong,36.86,Elite,Defensive Discipline,0.58,0.6,0.59,0,Competitive Challengers
3,NLM-WZ,Fire Flickers,4,1,1,2,5,5,0,4,1.25,1.25,0.0,1.0,1.25,0.0,1.0,1.28,1.14,1.0,25.0,25.0,50.0,0.94,1.25,1.25,0.0,1.25,1.25,0.0,1.0,0.5,16,6,13,14,2.78,31,Attack-Oriented,38.9,Competitive,34.23,Developing,High Offensive Risk,-0.17,0.35,0.09,0,Competitive Challengers
4,NLM-WZ,Nandi Hawks,4,1,1,2,4,11,-7,4,1.0,2.75,-1.75,1.0,2.75,-1.75,0.8,0.58,0.69,1.0,25.0,25.0,50.0,1.02,1.0,2.75,-1.75,1.0,2.75,-1.75,1.0,-0.38,17,12,20,14,1.0,51,Developing Team,17.82,Developing,24.26,Developing,Rebuilding Phase,-0.17,-1.4,-0.78,1,Developing Teams
5,NLM-WZ,GHF Blue Pirates II,4,0,1,3,5,9,-4,1,1.25,2.25,-1.0,0.25,2.25,-1.0,1.0,0.71,0.86,0.25,0.0,25.0,75.0,0.68,1.25,2.25,-1.0,1.25,2.25,-1.0,0.25,-0.38,16,10,17,17,1.33,45,Attack-Oriented,19.14,Developing,28.02,Developing,High Offensive Risk,-0.92,-0.65,-0.78,1,Developing Teams
6,NLM-WZ,Western Jaguars Dev,1,0,0,1,0,2,-2,0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,0.8,0.4,0.0,0.0,0.0,100.0,0.24,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,-1.0,21,3,15,18,-0.2,57,Developing Team,2.11,Developing,14.66,Developing,Rebuilding Phase,-1.17,-1.65,-1.41,1,Developing Teams
