Gender,Played,Wins,Draws,Losses,GoalsFor,GoalsAgainst,WinRate,DrawRate,LossRate
Men,15,4,0,11,25,46,26.7,0.0,73.3
Women,15,6,4,5,20,22,40.0,26.7,33.3
