Competition,Season,MatchNo,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,URL
NLM-EZ,2026,,04-07-2026,13:00,Daystar University Men,Gorillas,2,3,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-daystar-university-men-vs-gorillas/
NLM-EZ,2026,,27-06-2026,14:00,Daystar University Men,Parklands Sports Club – Legacy,0,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-daystar-university-men-vs-parklands-sports-club-legacy/
NLM-EZ,2026,,13-06-2026,13:00,Daystar University Men,Ulinzi Patriots,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-daystar-university-men-vs-ulinzi-patriots/
NLM-EZ,2026,,27-06-2026,14:00,Gorillas,Mombasa Sports Club,1,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-gorillas-vs-mombasa-sports-club/
NLM-EZ,2026,,28-06-2026,09:00,Gorillas,Mombasa West,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-gorillas-vs-mombasa-west/
NLM-EZ,2026,,21-06-2026,10:00,Gorillas,Parklands Sports Club – Legacy,1,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-gorillas-vs-parklands-sports-club-legacy/
NLM-EZ,2026,,20-06-2026,15:00,Gorillas,Snippers Hockey Club (Makueni),1,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-gorillas-vs-snippers-hockey-club-makueni/
NLM-EZ,2026,,07-06-2026,09:00,Gorillas,Ulinzi Patriots,0,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-gorillas-vs-ulinzi-patriots/
NLM-EZ,2026,,05-07-2026,09:00,Mombasa Sports Club,Black Tigers,1,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-mombasa-sports-club-vs-black-tigers/
NLM-EZ,2026,,04-07-2026,13:00,Mombasa Sports Club,Parklands Sports Club – Legacy,1,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-mombasa-sports-club-vs-parklands-sports-club-legacy/
NLM-EZ,2026,,04-07-2026,14:30,Mombasa West,Black Tigers,3,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-mombasa-west-vs-black-tigers/
NLM-EZ,2026,,07-06-2026,11:00,Mombasa West,Mombasa Sports Club,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-mombasa-west-vs-mombasa-sports-club/
NLM-EZ,2026,,05-07-2026,10:30,Mombasa West,Parklands Sports Club – Legacy,2,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-mombasa-west-vs-parklands-sports-club-legacy/
NLM-EZ,2026,,28-06-2026,13:00,Parklands Sports Club – Legacy,Snippers Hockey Club (Makueni),2,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-parklands-sports-club-legacy-vs-snippers-hockey-club-makueni/
NLM-EZ,2026,,13-06-2026,11:00,Parklands Sports Club – Legacy,UoN Cubs,1,3,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-parklands-sports-club-legacy-vs-uon-cubs/
NLM-EZ,2026,,13-06-2026,13:00,Snippers Hockey Club (Makueni),Black Tigers,0,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-snippers-hockey-club-makueni-vs-black-tigers/
NLM-EZ,2026,,11-07-2026,13:00,Snippers Hockey Club (Makueni),Daystar University Men,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-snippers-hockey-club-makueni-vs-daystar-university-men/
NLM-EZ,2026,,04-07-2026,13:00,Snippers Hockey Club (Makueni),Ulinzi Patriots,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-snippers-hockey-club-makueni-vs-ulinzi-patriots/
NLM-EZ,2026,,07-06-2026,09:00,TUK Men,Black Tigers,3,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-tuk-men-vs-black-tigers/
NLM-EZ,2026,,06-06-2026,15:00,TUK Men,Gorillas,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-tuk-men-vs-gorillas/
NLM-EZ,2026,,12-07-2026,13:00,Ulinzi Patriots,Black Tigers,2,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-ulinzi-patriots-vs-black-tigers/
NLM-EZ,2026,,28-06-2026,11:00,Ulinzi Patriots,Mombasa Sports Club,2,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-ulinzi-patriots-vs-mombasa-sports-club-2/
NLM-EZ,2026,,27-06-2026,15:30,Ulinzi Patriots,Mombasa West,0,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-ulinzi-patriots-vs-mombasa-west/
NLM-EZ,2026,,14-06-2026,08:00,Ulinzi Patriots,Parklands Sports Club – Legacy,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-ulinzi-patriots-vs-parklands-sports-club-legacy/
NLM-EZ,2026,,20-06-2026,14:00,Ulinzi Patriots,UoN Cubs,3,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-ulinzi-patriots-vs-uon-cubs/
NLM-EZ,2026,,14-06-2026,13:00,UoN Cubs,Daystar University Men,1,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-uon-cubs-vs-daystar-university-men/
NLM-EZ,2026,,21-06-2026,11:00,UoN Cubs,Snippers Hockey Club (Makueni),1,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-ez-nlm-ez-2026-uon-cubs-vs-snippers-hockey-club-makueni/
NLM-CZ,2026,92.0,06-06-2026,13:00,Dukes of Gloucester,Nyari Hockey Club,5,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-cz-nlm-cz-2026-dukes-of-gloucester-vs-nyari-hockey-club/
NLM-CZ,2026,,21-06-2026,12:00,GHF Rift Pirates Men,Dukes of Gloucester,9,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-cz-nlm-cz-2026-ghf-rift-pirates-men-vs-dukes-of-gloucester/
NLM-CZ,2026,107.0,07-06-2026,10:00,Thika Rovers,Dukes of Gloucester,8,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-_-cz-nlm-cz-2026-thika-rovers-vs-dukes-of-gloucester/
NLM-WZ,2026,,21-06-2026,10:00,Fire Flickers,GHF Blue Pirates II,3,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-fire-flickers-vs-ghf-blue-pirates-ii/
NLM-WZ,2026,,18-07-2026,13:00,Fire Flickers,Kitale Hockey Club,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-fire-flickers-vs-kitale-hockey-club/
NLM-WZ,2026,,06-06-2026,13:00,Fire Flickers,Lakers Hockey Club Men,1,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-fire-flickers-vs-lakers-hockey-club-men/
NLM-WZ,2026,,14-06-2026,10:00,GHF Blue Pirates II,Kitale Hockey Club,2,3,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-ghf-blue-pirates-ii-vs-kitale-hockey-club/
NLM-WZ,2026,,27-06-2026,14:00,GHF Blue Pirates II,Nandi Hawks,2,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-ghf-blue-pirates-ii-vs-nandi-hawks/
NLM-WZ,2026,,12-07-2026,11:00,Kitale Hockey Club,Nandi Hawks,7,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-kitale-hockey-club-vs-nandi-hawks/
NLM-WZ,2026,,20-06-2026,14:00,Lakers Hockey Club Men,GHF Blue Pirates II,1,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-lakers-hockey-club-men-vs-ghf-blue-pirates-ii/
NLM-WZ,2026,,19-07-2026,09:00,Lakers Hockey Club Men,Kitale Hockey Club,0,1,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-lakers-hockey-club-men-vs-kitale-hockey-club/
NLM-WZ,2026,,14-06-2026,10:00,Nandi Hawks,Fire Flickers,1,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-nandi-hawks-vs-fire-flickers/
NLM-WZ,2026,,05-07-2026,10:00,Nandi Hawks,Lakers Hockey Club Men,1,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-nandi-hawks-vs-lakers-hockey-club-men/
NLM-WZ,2026,,19-07-2026,15:00,Western Jaguars Dev,Kitale Hockey Club,0,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-wz-nlm-wz-2026-western-jaguars-dev-vs-kitale-hockey-club/
NLM-SZ,2026,,06-06-2026,13:00,Bay Club,Kisii Falcons,1,3,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-sz-nlm-sz-2026-bay-club-vs-kisii-falcons/
NLM-SZ,2026,,21-06-2026,10:00,Gorillas Hockey CLub – Migori,Bay Club,0,8,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-sz-nlm-sz-2026-gorillas-hockey-club-migori-vs-bay-club/
NLM-SZ,2026,,13-06-2026,13:00,Kisii Falcons,Gorillas Hockey CLub – Migori,4,0,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-sz-nlm-sz-2026-kisii-falcons-vs-gorillas-hockey-club-migori/
NLM-SZ,2026,,20-06-2026,13:00,Oyugis Hockey Club,Bay Club,0,2,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-sz-nlm-sz-2026-oyugis-hockey-club-vs-bay-club/
NLM-SZ,2026,,14-06-2026,10:00,Oyugis Hockey Club,Gorillas Hockey CLub – Migori,1,3,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-sz-nlm-sz-2026-oyugis-hockey-club-vs-gorillas-hockey-club-migori/
NLM-SZ,2026,,07-06-2026,11:00,Oyugis Hockey Club,Kisii Falcons,0,10,https://www.kenyahockeyunion.org/joomsport_match/national-league-men-sz-nlm-sz-2026-oyugis-hockey-club-vs-kisii-falcons/
PLW,2026,86.0,05-07-2026,09:00,Sliders Hockey Club,Kisumu Queens,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-women-plw-2026-sliders-hockey-club-vs-kisumu-queens/
