Competition,Season,MatchNo,Date,Time,HomeTeam,AwayTeam,HomeGoals,AwayGoals,URL
PLM,2026,,20-06-2026,15:30,Daikyo Heroes,Kenya Police,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-daikyo-heroes-vs-kenya-police/
PLM,2026,,21-06-2026,13:00,Daikyo Heroes,Wazalendo,3,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-daikyo-heroes-vs-wazalendo/
PLM,2026,20.0,30-05-2026,16:00,Greensharks,Kisumu Youngsters,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-kisumu-youngsters/
PLM,2026,5.0,23-05-2026,14:00,Greensharks,Parklands Sports Club,0,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-parklands-sports-club/
PLM,2026,,05-07-2026,16:00,Greensharks,USIU – A,0,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-usiu-a/
PLM,2026,,04-07-2026,13:00,Greensharks,Wazalendo,1,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-wazalendo/
PLM,2026,23.0,31-05-2026,11:00,Greensharks,Western Jaguars,0,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-greensharks-vs-western-jaguars/
PLM,2026,,27-06-2026,13:00,Kenya Police,Greensharks,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-greensharks/
PLM,2026,53.0,14-06-2026,10:00,Kenya Police,Kisumu Youngsters,3,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-kisumu-youngsters/
PLM,2026,29.0,06-06-2026,15:00,Kenya Police,Sikh Union Nairobi,2,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-sikh-union-nairobi/
PLM,2026,6.0,23-05-2026,14:00,Kenya Police,USIU – A,2,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-usiu-a/
PLM,2026,,28-06-2026,13:00,Kenya Police,Wazalendo,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-wazalendo/
PLM,2026,50.0,13-06-2026,14:00,Kenya Police,Western Jaguars,0,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kenya-police-vs-western-jaguars/
PLM,2026,51.0,13-06-2026,15:00,Kisumu Youngsters,Daikyo Heroes,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-daikyo-heroes/
PLM,2026,37.0,06-06-2026,14:00,Kisumu Youngsters,Parklands Sports Club,1,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-parklands-sports-club/
PLM,2026,,20-06-2026,13:00,Kisumu Youngsters,Sikh Union Nairobi,1,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-sikh-union-nairobi/
PLM,2026,46.0,07-06-2026,11:00,Kisumu Youngsters,USIU – A,2,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-usiu-a/
PLM,2026,,21-06-2026,09:00,Kisumu Youngsters,Warriors,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-kisumu-youngsters-vs-warriors/
PLM,2026,19.0,30-05-2026,14:00,Parklands Sports Club,Daikyo Heroes,1,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-parklands-sports-club-vs-daikyo-heroes/
PLM,2026,24.0,31-05-2026,13:00,Parklands Sports Club,Kenya Police,2,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-parklands-sports-club-vs-kenya-police/
PLM,2026,49.0,13-06-2026,13:00,Parklands Sports Club,Warriors,1,4,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-parklands-sports-club-vs-warriors/
PLM,2026,21.0,31-05-2026,09:00,Sikh Union Nairobi,Daikyo Heroes,6,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-sikh-union-nairobi-vs-daikyo-heroes/
PLM,2026,13.0,24-05-2026,13:00,Sikh Union Nairobi,Greensharks,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-sikh-union-nairobi-vs-greensharks/
PLM,2026,,27-06-2026,15:00,Sikh Union Nairobi,Parklands Sports Club,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-sikh-union-nairobi-vs-parklands-sports-club/
PLM,2026,54.0,14-06-2026,11:00,Sikh Union Nairobi,Warriors,1,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-sikh-union-nairobi-vs-warriors/
PLM,2026,,04-07-2026,15:00,USIU – A,Daikyo Heroes,1,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-usiu-a-vs-daikyo-heroes/
PLM,2026,31.0,14-06-2026,13:00,USIU – A,Parklands Sports Club,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-usiu-a-vs-parklands-sports-club/
PLM,2026,18.0,30-05-2026,14:00,USIU – A,Sikh Union Nairobi,2,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-usiu-a-vs-sikh-union-nairobi/
PLM,2026,11.0,24-05-2026,12:00,USIU – A,Wazalendo,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-usiu-a-vs-wazalendo/
PLM,2026,,05-07-2026,11:00,Warriors,Daikyo Heroes,4,0,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-daikyo-heroes/
PLM,2026,,28-06-2026,15:00,Warriors,Greensharks,3,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-greensharks/
PLM,2026,16.0,24-05-2026,15:00,Warriors,Kenya Police,1,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-kenya-police/
PLM,2026,25.0,31-05-2026,15:00,Warriors,USIU – A,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-usiu-a/
PLM,2026,8.0,23-05-2026,16:00,Warriors,Wazalendo,3,3,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-warriors-vs-wazalendo/
PLM,2026,22.0,31-05-2026,10:00,Wazalendo,Kisumu Youngsters,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-wazalendo-vs-kisumu-youngsters/
PLM,2026,,05-07-2026,15:00,Wazalendo,Parklands Sports Club,1,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-wazalendo-vs-parklands-sports-club/
PLM,2026,48.0,13-06-2026,13:00,Wazalendo,Sikh Union Nairobi,1,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-wazalendo-vs-sikh-union-nairobi/
PLM,2026,17.0,30-05-2026,14:00,Wazalendo,Western Jaguars,3,2,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-wazalendo-vs-western-jaguars/
PLM,2026,52.0,14-06-2026,09:00,Western Jaguars,Daikyo Heroes,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-daikyo-heroes/
PLM,2026,4.0,23-05-2026,13:00,Western Jaguars,Kisumu Youngsters,2,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-kisumu-youngsters/
PLM,2026,45.0,07-06-2026,10:00,Western Jaguars,Parklands Sports Club,0,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-parklands-sports-club/
PLM,2026,,21-06-2026,10:00,Western Jaguars,Sikh Union Nairobi,3,1,https://www.kenyahockeyunion.org/joomsport_match/premier-league-men-plm-2026-western-jaguars-vs-sikh-union-nairobi/
