Competition,Season,MatchNo,Date,HomeTeam,AwayTeam,Minute,Event,Player,Team
PLM,2026,20.0,30-05-2026,Greensharks,Kisumu Youngsters,46',Yellow card,Willis Wanjala,Kisumu Youngsters
PLM,2026,5.0,23-05-2026,Greensharks,Parklands Sports Club,15',Green Card,Benon Papa,Greensharks
PLM,2026,5.0,23-05-2026,Greensharks,Parklands Sports Club,29',Goal,Erick Kidwaro,Parklands Sports Club
PLM,2026,5.0,23-05-2026,Greensharks,Parklands Sports Club,35',Green Card,Elvis Young Adala,Greensharks
PLM,2026,5.0,23-05-2026,Greensharks,Parklands Sports Club,38',Green Card,Teddy Schefer,Parklands Sports Club
PLM,2026,5.0,23-05-2026,Greensharks,Parklands Sports Club,48',Yellow card,Teddy Schefer,Parklands Sports Club
PLM,2026,5.0,23-05-2026,Greensharks,Parklands Sports Club,57',Goal,William Kirwa,Parklands Sports Club
PLM,2026,23.0,31-05-2026,Greensharks,Western Jaguars,15',Green Card,Xavier Buluma,Greensharks
PLM,2026,23.0,31-05-2026,Greensharks,Western Jaguars,41',Goal,Charles Otieno,Western Jaguars
PLM,2026,23.0,31-05-2026,Greensharks,Western Jaguars,41',Green Card,Benson Mawich,Greensharks
PLM,2026,23.0,31-05-2026,Greensharks,Western Jaguars,47',Goal,Emmanuel Wiswa,Western Jaguars
PLM,2026,23.0,31-05-2026,Greensharks,Western Jaguars,50',Goal,Sheldone Kimtai,Western Jaguars
PLM,2026,23.0,31-05-2026,Greensharks,Western Jaguars,56',Yellow card,Benson Mawich,Greensharks
PLM,2026,23.0,31-05-2026,Greensharks,Western Jaguars,59',Yellow card,Daniel Solomon Obunyasi,Greensharks
PLM,2026,29.0,06-06-2026,Kenya Police,Sikh Union Nairobi,22',Goal,Kit Garner,Sikh Union Nairobi
PLM,2026,29.0,06-06-2026,Kenya Police,Sikh Union Nairobi,30',Goal,Willis Okeyo,Kenya Police
PLM,2026,29.0,06-06-2026,Kenya Police,Sikh Union Nairobi,35',Goal,Robert Masibo,Kenya Police
PLM,2026,29.0,06-06-2026,Kenya Police,Sikh Union Nairobi,39',Goal,Kabir Bhamra,Sikh Union Nairobi
PLM,2026,29.0,06-06-2026,Kenya Police,Sikh Union Nairobi,60',Goal,Mathias Gularire,Sikh Union Nairobi
PLM,2026,6.0,23-05-2026,Kenya Police,USIU – A,2',Goal,Wayne Kipkorir Chongwony,USIU – A
PLM,2026,6.0,23-05-2026,Kenya Police,USIU – A,6',Goal,Robert Masibo,Kenya Police
PLM,2026,6.0,23-05-2026,Kenya Police,USIU – A,36',Goal,Robert Masibo,Kenya Police
PLM,2026,6.0,23-05-2026,Kenya Police,USIU – A,48',Goal,Danstone Wabwire,USIU – A
PLM,2026,37.0,06-06-2026,Kisumu Youngsters,Parklands Sports Club,1',Goal,Eudgas Lirhu,Parklands Sports Club
PLM,2026,37.0,06-06-2026,Kisumu Youngsters,Parklands Sports Club,20',Goal,Kennedy Wanyonyi,Parklands Sports Club
